ID,Бренд,Наименование,Количество,Цена,Цена по акции
578867,SOHM & KRACHER,"Вино Sohm & Kracher Lion Gruner Veltliner белое сухое, 0.75л",7,2999,0
595104,CHATEAU LAGRANGE,"Вино Chateau Lagrange Le Sang Du Christ красное сухое, 0.75л",8,3199,0
518241,FEUDO MACCARI,"Вино Feudo Maccari Nero d'Avola красное сухое, 0.75л",6,2499,0
595450747,NOUVELLE VAGUE,"Вино Nouvelle Vague Bordeaux белое сухое, 0.75л",148,949,0
637870,CHATEAU TOURNEBRISE,"Вино Chateau Tournebrise красное сухое, 0.75л",29,2899,0
401351803,LOUIS DAILLY,"Вино Louis Dailly Vire-Clesse белое сухое, 0.75л",65,2299,0
10518412,ALTE ROCCHE BIANCHE,"Вино Alte Rocche Bianche Riserva Barolo красное сухое, 0.75л",129,3999,0
560305595,DELECTO,"Вино Delecto Roble Ribera del Duero красное сухое, 0.75л",289,959,863.1
519480,BATUTA,"Вино Batuta Airen белое сухое, 3л",91,1999,1799.1
360933,DE WETSHOF,"Вино De Wetshof Naissance Cabernet Sauvignon красное сухое, 0.75л",9,2229,2006.1
605019973,CLAUS JACOB,"Вино Edition Terroir by Claus Jacob Sauvignon Blanc Kalkstein белое полусухое, 0.75л",185,1199,0
595451932,NOUVELLE VAGUE,"Вино Nouvelle Vague Bordeaux розовое сухое, 0.75л",172,949,0
519078,IL ROCCHIN,"Вино Il Rocchin Gavi белое сухое, 0.75л",37,1559,0
603218641,MOILLARD THOMAS,"Вино Moillard Thomas Hautes Cotes de Nuits красное сухое, 0.75л",114,2899,0
403258103,ALMA RIVER,"Вино Alma River Chardonnay-Rkatsiteli-Traminer белое полусладкое, 0.75л",10,549,449
571718448,REAL AGRADO,"Вино Real Agrado Rosado розовое сухое, 0.75л",199,959,863.1
605029497,GLUHWEIN,"Напиток винный Gluhwein Felix Solis красное сладкое, 0.75л",580,799,719.1
605123151,COLOMBA BIANCA,"Вино Colomba Bianca Zibibbo Sicilia белое полусухое, 0.75л",209,899,0
605167619,VALLEE LOIRE,"Вино Vallee Loire Vouvray Chenin Blanc белое полусухое, 0.75л",165,1599,0
557512228,GERARD BERTRAND,"Вино Gerard Bertrand Gio розовое сухое, 0.75л",62,999,899
518807,FEUDO MACCARI,"Вино Feudo Maccari Olli Grillo белое сухое, 0.75л",12,2499,0
461300,TENUTA SANT'ANTONIO,"Вино Tenuta Sant'antonio Il Bianco белое полусухое, 0.75л",20,2399,0
157978,HUGEL,"Вино Hugel Gentil белое сухое, 0.75л",27,2799,0
250149,CUNE,"Вино Cune Verdejo Rueda белое сухое, 0.75л",39,1769,1592.1
250191,CUNE,"Вино Cune Crianza красное сухое, 0.75л",23,1999,1799.1
470494,CASARENA,"Вино Casarena 505 Malbec красное сухое, 0.75л",51,1299,1169.1
